Country,Latitude,Longitude
Malta,35.8885993,14.4476911
Chad,15.6134137,19.0156172
North Macedonia,41.6171214,21.7168387
Kuwait,29.2733964,47.4979476
Slovenia,46.1199444,14.8153333
United Arab Emirates,24.0002488,53.9994829
Niger,17.7356214,9.3238432
Congo,-2.9814344,23.8222636
Dominica,15.4113138,-61.3653618
Nepal,28.3780464,83.9999901
Turkmenistan,39.3763807,59.3924609
Benin,9.5293472,2.2584408
Saint Martin (French Part),18.0814066,-63.0467131
Poland,52.215933,19.134422
Sweden,59.6749712,14.5208584
Germany,51.1638175,10.4478313
Uganda,1.5333554,32.2166578
Hungary,47.1817585,19.5060937
Greenland,77.6192349,-42.8125967
Canada,61.0666922,-107.991707
Curacao,12.1176488,-68.9309263
Qatar,25.3336984,51.2295295
Central African Republic,7.0323598,19.9981227
Cayman Islands,19.7031822,-79.9174627
French Guiana,4.0039882,-52.999998
Nigeria,9.6000359,7.9999721
Taiwan,23.9739374,120.9820179
Romania,45.9852129,24.6859225
San Marino,43.9458623,12.458306
Djibouti,11.8145966,42.8453061
Peru,-6.8699697,-75.0458515
Madagascar,-18.9249604,46.4416422
Malaysia,4.5693754,102.2656823
Iceland,64.9841821,-18.1059013
Uzbekistan,41.32373,63.9528098
Kazakhstan,48.1012954,66.7780818
El Salvador,13.8000382,-88.9140683
Ireland,52.865196,-7.9794599
Jersey,49.2214561,-2.1358386
Uruguay,-32.8755548,-56.0201525
Albania,41.000028,19.9999619
Bermuda,32.3040273,-64.7563086
Mauritius,-20.2759451,57.5703566
New Zealand,-41.5000831,172.8344077
Viet Nam,15.9266657,107.9650855
Portugal,39.6621648,-8.1353519
Panama,8.559559,-81.1308434
Ethiopia,10.2116702,38.6521203
United Kingdom,54.7023545,-3.2765753
Mauritania,20.2540382,-9.2399263
Spain,39.3260685,-4.8379791
Solomon Islands,-8.7053941,159.1070694
Burundi,-3.426449,29.9324519
Somalia,8.3676771,49.083416
Paraguay,-23.3165935,-58.1693445
Belize,17.1204943,-88.6859028
Mexico,23.6585116,-102.0077097
Jordan,31.1667049,36.941628
Cote d'Ivoire,7.9897371,-5.5679458
Cook Islands,-19.9969716,-157.7858714
Malawi,-13.2687204,33.9301963
Iraq,33.0955793,44.1749775
Indonesia,-2.4833826,117.8902853
Pakistan,30.3308401,71.247499
South Africa,-28.8166236,24.991639
Falkland Islands (Malvinas),-51.9492937,-59.5383657
"Virgin Islands, British",18.4024395,-64.5661642
Japan,36.5748441,139.2394179
Ecuador,-1.3397668,-79.3666965
Zimbabwe,-18.4554963,29.7468414
Venezuela,8.0018709,-66.1109318
Reunion,-21.1309332,55.5265771
"Palestine, State of",42.2088336,-79.4683738
Sint Maarten,18.0423736,-63.0549948
Israel,30.8124247,34.8594762
Kiribati,0.3448612,173.6641773
Lithuania,55.3500003,23.7499997
Lao People's Democratic Republic,20.0171109,103.378253
Gibraltar,36.1285933,-5.3474761
Guatemala,15.5855545,-90.345759
Macao,22.1899448,113.5380454
Kenya,1.4419683,38.4313975
Zambia,-14.5189121,27.5589884
Turkiye,38.9597594,34.9249653
Northern Mariana Islands,15.1753648,145.7379338
Tonga,-19.9160819,-175.202642
India,22.3511148,78.6677428
Aruba,12.5013629,-69.9618475
Mongolia,46.8250388,103.8499736
Italy,42.6384261,12.674297
Equatorial Guinea,1.613172,10.5170357
Papua New Guinea,-5.6816069,144.2489081
Philippines,12.7503486,122.7312101
Kyrgyzstan,41.5089324,74.724091
"Tanzania, United Republic of",-6.5247123,35.7878438
Singapore,1.357107,103.8194992
Namibia,-23.2335499,17.3231107
Wallis and Futuna,-13.289402,-176.204224
Serbia,44.1534121,20.55144
Vanuatu,-16.5255069,168.1069154
Czech Republic,49.7439047,15.3381061
Slovakia,48.7411522,19.4528646
Guadeloupe,16.2528827,-61.5686855
Bosnia and Herzegovina,44.3053476,17.5961467
Monaco,43.7323492,7.4276832
Netherlands,52.2434979,5.6343227
Saudi Arabia,25.6242618,42.3528328
Mali,16.3700359,-2.2900239
Thailand,14.8971921,100.83273
Nicaragua,12.6090157,-85.2936911
Bangladesh,24.4769288,90.2934413
Croatia,45.3658443,15.6575209
Bulgaria,42.6073975,25.4856617
Puerto Rico,18.2247706,-66.4858295
Saint Barthelemy,17.9036287,-62.8115292
Rwanda,-1.9646631,30.0644358
Maldives,3.7203503,73.2244152
Palau,5.3783537,132.9102573
Estonia,58.7523778,25.3319078
Libya,26.8234472,18.1236723
Cuba,23.0131338,-80.8328748
